experiment_id,timestamp_utc,relative_time_sec,sample_index,role,device,sample_interval_ms,telemetry_source,bytes_sent_total,bytes_received_total,bytes_sent_delta,bytes_received_delta,cpu_usage_percent,memory_usage_mb,memory_usage_percent,gpu_usage_percent,gpu_memory_used_mb,gpu_memory_total_mb,cpu_power_w,gpu_power_w,system_power_w,cpu_energy_j,gpu_energy_j,system_energy_j
20260820_142704_79edcc8b,2026-08-20T18:27:20.334115+00:00,16.112530990008963,31,server,ubuntu,500,psutil,12915207996,26839575262,94,105,1.5,11544.68359375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:20.834630+00:00,16.61301950699999,32,server,ubuntu,500,psutil,12915213078,26839577131,5082,1869,1.5,11544.68359375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:21.335121+00:00,17.11353667799267,33,server,ubuntu,500,psutil,12915215397,26839579731,2319,2600,1.8,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:21.835590+00:00,17.61400471799425,34,server,ubuntu,500,psutil,12915215491,26839579797,94,66,1.3,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:22.336054+00:00,18.114468831015984,35,server,ubuntu,500,psutil,12915215867,26839580034,376,237,1.3,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:22.836523+00:00,18.614938392012846,36,server,ubuntu,500,psutil,12915215961,26839580166,94,132,1.0,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:23.336994+00:00,19.115409004996764,37,server,ubuntu,500,psutil,12915215961,26839580166,0,0,1.5,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:23.837669+00:00,19.61608345701825,38,server,ubuntu,500,psutil,12915216055,26839580232,94,66,1.3,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:24.338184+00:00,20.116598508000607,39,server,ubuntu,500,psutil,12915216055,26839580232,0,0,1.3,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:24.838886+00:00,20.617301430000225,40,server,ubuntu,500,psutil,12915216149,26839580298,94,66,1.0,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:25.339535+00:00,21.11794972399366,41,server,ubuntu,500,psutil,12915216149,26839580298,0,0,1.5,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:25.840109+00:00,21.61852388101397,42,server,ubuntu,500,psutil,12915216243,26839580364,94,66,1.8,11545.4375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:26.340618+00:00,22.119033675990067,43,server,ubuntu,500,psutil,12915219811,26839585227,3568,4863,1.3,11544.67578125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:26.841127+00:00,22.61954245000379,44,server,ubuntu,500,psutil,12915219905,26839585293,94,66,1.5,11544.67578125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:27.341804+00:00,23.12021857901709,45,server,ubuntu,500,psutil,12915219905,26839585293,0,0,1.0,11544.68359375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:27.842474+00:00,23.62088900100207,46,server,ubuntu,500,psutil,12915219999,26839585359,94,66,1.7,11544.6796875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:28.343167+00:00,24.121582176012453,47,server,ubuntu,500,psutil,12915219999,26839585359,0,0,1.3,11544.6796875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:28.843898+00:00,24.622313243016833,48,server,ubuntu,500,psutil,12915220285,26839585623,286,264,2.0,11548.3671875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:29.344499+00:00,25.122914284991566,49,server,ubuntu,500,psutil,12915220285,26839585623,0,0,1.8,11548.72265625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:29.845232+00:00,25.62364714901196,50,server,ubuntu,500,psutil,12915220379,26839585689,94,66,1.0,11548.72265625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:30.345730+00:00,26.124144920991967,51,server,ubuntu,500,psutil,12915220567,26839585755,188,66,1.3,11548.72265625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:30.846430+00:00,26.624845643993467,52,server,ubuntu,500,psutil,12915220661,26839585821,94,66,1.0,11548.72265625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:31.346880+00:00,27.125295395991998,53,server,ubuntu,500,psutil,12915220881,26839585915,220,94,1.3,11548.72265625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:31.847317+00:00,27.62573239899939,54,server,ubuntu,500,psutil,12915222434,26839586853,1553,938,1.5,11548.72265625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:32.347762+00:00,28.12617763201706,55,server,ubuntu,500,psutil,12915222434,26839586853,0,0,1.0,11548.72265625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:32.848251+00:00,28.62666579100187,56,server,ubuntu,500,psutil,12915232781,26839594721,10347,7868,2.3,11550.67578125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:33.348765+00:00,29.12717990000965,57,server,ubuntu,500,psutil,12915232781,26839594721,0,0,1.3,11551.08203125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:33.849231+00:00,29.627645836997544,58,server,ubuntu,500,psutil,12915233611,26839595415,830,694,2.8,11552.3828125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:34.349679+00:00,30.128095276013482,59,server,ubuntu,500,psutil,12915233705,26839595520,94,105,1.3,11551.95703125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:34.850152+00:00,30.628567092993762,60,server,ubuntu,500,psutil,12915233705,26839595520,0,0,1.5,11552.01171875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:35.350713+00:00,31.129128205007873,61,server,ubuntu,500,psutil,12915234151,26839595913,446,393,2.0,11551.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:35.851175+00:00,31.629589560005115,62,server,ubuntu,500,psutil,12915234245,26839596018,94,105,1.5,11551.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:36.351608+00:00,32.13002410900663,63,server,ubuntu,500,psutil,12915234339,26839596084,94,66,1.5,11551.99609375,36.2,,,,,,,,,
